trigger_branch,cmatch,exp,show,click,charge,acp,ctr2,ctr3,cpm3,avg_qbq
121,222,exp,7125,465,164218,3.5315698924731183,0.06526315789473684,0.06728403993633338,237.6182896831139,0.009924116298980537
152,222,exp,200156,27301,9298079,3.4057649902933957,0.13639860908491377,0.15465097177298295,526.7048653792775,1.100000023841858
1039,223,dz,35581,1383,508094,3.673853940708604,0.03886905932941739,0.04089900931539258,150.25698654443295,0.8110291172080911
1035,222,dz,16319,1188,480936,4.048282828282828,0.07279857834426129,0.07469818913480886,302.3993963782696,0.8274751366585
1049,223,dz,69704,5030,1216420,2.418330019880716,0.0721622862389533,0.07513518358079646,181.70167000268873,0.9064578170258004
1028,223,exp,18751,913,196200,2.1489594742606792,0.04869073649405365,0.05001095530236634,107.47151621384751,0.7611821158076227
660,223,dz,3,0,0,"",0.0,0.0,0.0,0.005861282333333333
500,223,exp,371671,44879,6989916,1.5575026181510283,0.12074926480677804,0.16918170474722077,263.5009480870506,0.28569167582193916
656,223,exp,1,0,0,"",0.0,0.0,0.0,0.00507164
25,223,exp,16897,882,156501,1.7743877551020408,0.05219861513878203,0.0556642473966551,98.76995897759545,0.9108544893936119
1003,223,dz,1311,160,42189,2.6368125,0.12204424103737604,0.12326656394453005,325.03081664098613,1.100000023841858
1037,223,dz,7526,404,77243,1.9119554455445544,0.05368057401009833,0.05489876341894279,104.96398967250985,1.100000023841858
1036,222,dz,58027,4019,1704016,4.2399004727544165,0.06926086132317714,0.07297851863957437,309.42165568084835,0.8170711615993218
1000,222,exp,88052,11371,3319054,2.918876088294785,0.12913959932767002,0.13814510642433667,403.22844785693457,1.100000023841858
151,222,exp,6833,359,303378,8.450640668523677,0.052539148251134205,0.05828868322779672,492.5767169995129,1.100000023841858
1043,223,dz,172,4,105,0.2625,0.023255813953488372,0.023809523809523808,6.25,1.100000023841858
150,222,exp,229691,30216,7111605,2.353589158061954,0.13155064847991432,0.15063111926459152,354.5237691678797,1.100000023841858
1048,222,exp,2358,186,88703,4.7689784946236555,0.07888040712468193,0.07925010651896038,377.942053685556,0.8490884230505579
1037,222,exp,8339,698,214774,3.076991404011461,0.08370308190430507,0.08529879017475253,262.46364414029085,1.100000023841858
1050,222,dz,374748,37792,14406563,3.8120668395427604,0.10084643547130338,0.11097700997536258,423.0517796786859,0.9386038742731834
1019,222,dz,260,22,4838,2.199090909090909,0.08461538461538462,0.08695652173913043,191.22529644268775,0.9833262093413107
150,223,dz,256386,26778,3799169,1.4187650309955935,0.10444408041000679,0.12351988781822124,175.24569746899087,1.100000023841858
8003,223,exp,282470,27044,2140046,0.7913200709954148,0.09574114065210465,0.10215382755781187,80.83637407550106,0.0
8002,223,dz,28383,1785,163218,0.9143865546218488,0.06288975795370469,0.06751645358953022,61.736137378016494,0.0
1050,223,dz,204071,15023,5170677,3.441840511216135,0.07361653542149546,0.08125064224946862,279.6517520565504,0.9329044312910075
121,223,exp,1047,31,2918,0.9412903225806452,0.029608404966571154,0.030362389813907934,28.579823702252693,0.020310298080634392
1019,222,exp,237,12,2426,2.021666666666667,0.05063291139240506,0.05217391304347826,105.47826086956522,0.9826097149478829
651,222,exp,9,0,0,"",0.0,0.0,0.0,0.007464091000000002
1030,223,dz,469196,34915,5084981,1.4563886581698409,0.07441453038815335,0.08266722859388762,120.39561412647151,0.8282608246341918
151,223,exp,101,5,1208,2.416,0.04950495049504951,0.05319148936170213,128.51063829787233,1.100000023841858
1005,223,exp,290379,23560,3333464,1.4148828522920203,0.0811353438092975,0.09204743021234202,130.23633060498915,0.9068905546750017
1020,222,dz,7891,745,238637,3.203181208053691,0.09441135470789506,0.09588159588159588,307.1261261261261,0.9808824447528902
8003,223,dz,284568,27297,2178106,0.7979287101146647,0.09592434848612634,0.10242161821429108,81.72514970958592,0.0
1022,222,exp,48007,4327,600540,1.3878899930667898,0.09013268898285667,0.10150605235995121,140.8792343060899,0.882176978153613
152,223,exp,146860,15345,3764455,2.4532127728901925,0.1044872667846929,0.11681193620827465,286.56453393217373,1.100000023841858
8,222,exp,408472,38384,13242623,3.4500372551062948,0.09396972130280656,0.10887379274155805,375.61864106309656,0.9598600062860424
24,223,exp,521900,35826,4549665,1.2699338469268129,0.06864533435524046,0.0824124255835994,104.65832865595009,0.9068317041624546
13,222,dz,88480,7889,2182139,2.766052731651667,0.0891613924050633,0.09628951544000977,266.34187721225436,0.9076919456453088
1003,222,exp,1120,142,39595,2.7883802816901406,0.12678571428571428,0.12815884476534295,357.35559566787003,1.100000023841858
36,222,exp,191699,27173,7425784,2.732780333419203,0.14174826159760875,0.16263563942805498,444.4474769420454,1.100000023841858
1003,222,dz,1064,145,74968,5.170206896551724,0.1362781954887218,0.13783269961977188,712.6235741444867,1.100000023841858
1049,222,exp,133831,13606,3678064,2.7032662060855506,0.1016655333965972,0.10561040735221063,285.49304520615993,0.9084960433880347
1035,222,exp,15488,1071,404834,3.7799626517273577,0.06915030991735537,0.07079587519830777,267.60576414595454,0.82905557606019
1029,223,dz,38011,1962,273633,1.3946636085626911,0.051616637289205757,0.05486423757724896,76.51715556052683,0.7583828706284109
25,222,dz,24773,2382,524114,2.2003106633081444,0.0961530698744601,0.10211343078835684,224.68127063059973,0.9306065840702529
1033,223,dz,1953,198,32511,1.641969696969697,0.10138248847926268,0.10526315789473684,172.8389154704944,0.9673281886216
654,222,dz,2,0,0,"",0.0,0.0,0.0,0.008713245500000001
651,223,dz,1,0,0,"",0.0,0.0,0.0,0.007368088
1006,223,dz,142651,7873,1037643,1.3179766289851391,0.055190640093655145,0.06103053464701824,80.43681831923783,0.8767834487849909
680,222,dz,43892,2701,609778,2.2576008885597925,0.061537410006379294,0.06964750780021145,157.23627549573246,0.024725334761172786
1032,223,exp,26153,1320,262073,1.9854015151515152,0.05047222116009636,0.05195418585429212,103.149919313575,0.8993739156445906
1045,222,dz,233819,23128,5014038,2.1679514008993426,0.09891411733007155,0.1087255957389796,235.71180759593642,0.8878490282824462
12,223,dz,153999,12429,1912136,1.5384471799822994,0.0807083162877681,0.09026602659539701,138.86951406389576,0.9647495731487371
1005,222,exp,142318,15608,4844511,3.103864044079959,0.10966989418063773,0.11750269138981112,364.7123788874585,0.9530073402263989
1045,223,exp,406842,27522,4500709,1.6353132039822686,0.06764788296193608,0.07755472395680696,126.8262641177664,0.8734376984822962
1003,223,exp,1294,148,62101,4.196013513513513,0.1143740340030912,0.11535463756819954,484.02961808261887,1.100000023841858
652,223,dz,5,1,15,0.15,0.2,0.2,30.0,0.00836410522
1041,223,exp,6277,435,219567,5.04751724137931,0.06930062131591525,0.07121807465618861,359.47445972495086,0.9235429333683896
655,222,exp,8,1,114,1.14,0.125,0.125,142.5,0.00793695445
1014,223,exp,583650,42047,6114763,1.4542685566152163,0.07204146320568834,0.08382943430533236,121.9105104290858,0.7828770402283539
1028,222,exp,19647,1538,392108,2.5494668400520157,0.07828167150201049,0.07990440565253533,203.71363258520367,0.8000871020684595
1037,222,dz,8393,711,201298,2.831195499296765,0.08471345168592875,0.08629688068940405,244.32334021119067,1.100000023841858
651,222,dz,5,0,0,"",0.0,0.0,0.0,0.00581741334
1000,222,dz,91099,11961,3584379,2.9967218459994984,0.13129672114951865,0.14072426937738247,421.71149230552027,1.100000023841858
1022,223,dz,56933,2819,262569,0.9314260376019865,0.04951434141886077,0.05972331094680197,55.62784686765111,0.8730987777282638
1034,222,dz,5745,559,200176,3.5809660107334524,0.09730200174064405,0.09980360649883949,357.39332262096053,0.9289177253574152
153,222,exp,586440,68671,16497467,2.4023921305937006,0.11709808335038538,0.14132946965689977,339.5288057247172,1.100000023841858
1032,222,dz,28179,2384,730628,3.064714765100671,0.08460200858795557,0.08652729384436701,265.181475029036,0.910384471942431
6,222,exp,80519,9500,1808480,1.9036631578947367,0.11798457506923832,0.12640374687317046,240.63015594230666,0.9470421393471927
1045,223,dz,219414,15702,2493657,1.588114252961406,0.07156334600344554,0.08011020127037576,127.22415244509068,0.8886294293550485
656,222,exp,1,0,0,"",0.0,0.0,0.0,0.015541077
653,222,exp,17,0,0,"",0.0,0.0,0.0,0.0059088539
1039,223,exp,33792,1427,560366,3.9268815697266994,0.042228929924242424,0.04434844764894179,174.1511017186189,0.8099460810117581
1014,223,dz,608722,44145,6367341,1.4423696907917092,0.07252078945725635,0.08487448113035236,122.42037910409309,0.783467669904271
1047,222,dz,6194,497,302521,6.086941649899396,0.08023894091055861,0.08136869679109365,495.2865094957433,0.8629575886669313
36,223,dz,127126,13456,2711912,2.0153923900118906,0.10584774161068546,0.12147803085700873,244.82589894284501,1.100000023841858
1006,222,dz,111230,10081,1712638,1.6988770955262376,0.09063202373460397,0.09793083349523994,166.37244997085682,0.8819187288307693
1050,223,exp,204616,15008,5016404,3.3424866737739873,0.07334714782812683,0.08097637829263292,270.6624653336067,0.9316295010336194
1006,223,exp,133645,7232,880926,1.2180945796460176,0.0541135096711437,0.059585406848367,72.58066110799855,0.876092516018739
1049,223,exp,68969,4903,1348906,2.751184988782378,0.07108990995954705,0.07406903844701261,203.77762670896593,0.9056702754915514
